enquiry_id,created_at,source,channel,caller_ref,became_patient
E01641,2026-01-09 17:33,Phone,Paid social,P03557,Y
E00138,2026-01-09 20:32,Web form,Directories,,Y
E01256,2026-01-09 20:41,Web form,Organic,,N
E01642,2026-01-12 08:22,Phone,Directories,P00805,N
E01643,2026-01-12 08:27,Phone,Paid search,P00732,N
E00147,2026-01-12 08:29,Web form,Directories,,Y
E01644,2026-01-12 08:56,Phone,Organic,P00165,Y
E01645,2026-01-12 09:12,Phone,Directories,P02316,Y
E01646,2026-01-12 09:12,Phone,Paid search,P02269,N
E01647,2026-01-12 09:20,Phone,Directories,P02812,Y
E01648,2026-01-12 09:34,Phone,Paid search,P00584,Y
E01649,2026-01-12 09:39,Phone,Directories,P01236,Y
E01650,2026-01-12 09:52,Phone,Organic,P04011,Y
E01651,2026-01-12 10:04,Phone,Organic,P02039,N
E00131,2026-01-12 10:29,Web form,Paid social,,N
E00151,2026-01-12 10:35,Web form,Directories,,Y
E00069,2026-01-12 11:25,Web form,Paid search,,N
E01652,2026-01-12 11:49,Phone,Directories,P00762,Y
E01653,2026-01-12 12:45,Phone,Paid social,P00781,N
E00102,2026-01-12 12:55,Web form,Paid social,,N
E01654,2026-01-12 13:17,Phone,Directories,P01562,Y
E01655,2026-01-12 13:23,Phone,Organic,P01010,N
E00084,2026-01-12 13:57,Web form,Paid search,,Y
E00118,2026-01-12 14:11,Web form,Paid social,,N
E01258,2026-01-12 14:26,Web form,Organic,,N
E01656,2026-01-12 15:29,Phone,Paid search,P00840,N
E01657,2026-01-12 15:31,Phone,Paid social,P02357,N
E00043,2026-01-12 15:42,Web form,Paid search,,Y
E01658,2026-01-12 16:01,Phone,Organic,P02468,Y
E01659,2026-01-12 16:22,Phone,Paid search,P00073,Y
E01660,2026-01-12 16:43,Phone,Organic,P00591,Y
E01661,2026-01-12 17:16,Phone,Paid search,P01118,N
E01259,2026-01-12 17:30,Web form,Organic,,N
E01662,2026-01-13 08:20,Phone,Directories,P02158,Y
E01663,2026-01-13 09:22,Phone,Paid social,P03715,N
E01664,2026-01-13 09:37,Phone,Directories,P04132,N
E01665,2026-01-13 10:07,Phone,Organic,P00059,N
E01666,2026-01-13 10:29,Phone,Directories,P01883,N
E01667,2026-01-13 10:31,Phone,Paid social,P00427,N
E01668,2026-01-13 10:52,Phone,Paid search,P04183,Y
E00048,2026-01-13 10:58,Web form,Paid search,,N
E01260,2026-01-13 11:00,Web form,Organic,,Y
E01261,2026-01-13 12:05,Web form,Organic,,N
E00017,2026-01-13 12:12,Web form,Paid search,,Y
E00132,2026-01-13 13:25,Web form,Paid social,,N
E01669,2026-01-13 15:22,Phone,Directories,P03240,Y
E00024,2026-01-13 15:36,Web form,Paid search,,Y
E00028,2026-01-13 16:23,Web form,Paid search,,N
E01670,2026-01-13 16:23,Phone,Organic,P03564,N
E00007,2026-01-13 17:00,Web form,Paid search,,N
E00006,2026-01-13 18:12,Web form,Paid search,,N
E00067,2026-01-13 20:59,Web form,Paid search,,N
E00055,2026-01-13 21:18,Web form,Paid search,,N
E00080,2026-01-14 08:14,Web form,Paid search,,N
E00062,2026-01-14 08:47,Web form,Paid search,,N
E01671,2026-01-14 09:08,Phone,Paid search,P02933,Y
E00079,2026-01-14 09:25,Web form,Paid search,,N
E01672,2026-01-14 09:36,Phone,Paid search,P03953,N
E01673,2026-01-14 09:45,Phone,Paid social,P01858,N
E01674,2026-01-14 09:46,Phone,Directories,P02678,N
E01675,2026-01-14 09:58,Phone,Organic,P01986,N
E01676,2026-01-14 10:45,Phone,Paid search,P01894,Y
E01677,2026-01-14 10:47,Phone,Organic,P00722,Y
E01678,2026-01-14 11:01,Phone,Paid search,P02733,N
E01679,2026-01-14 11:30,Phone,Organic,P01694,Y
E00013,2026-01-14 11:32,Web form,Paid search,,N
E00144,2026-01-14 12:17,Web form,Directories,,Y
E01680,2026-01-14 12:42,Phone,Organic,P01903,N
E01681,2026-01-14 13:22,Phone,Organic,P04014,N
E01682,2026-01-14 13:35,Phone,Directories,P00404,N
E00059,2026-01-14 14:49,Web form,Paid search,,Y
E01683,2026-01-14 14:57,Phone,Paid search,P00964,Y
E00111,2026-01-14 15:08,Web form,Paid social,,N
E01684,2026-01-14 15:34,Phone,Organic,P00054,N
E00011,2026-01-14 15:40,Web form,Paid search,,N
E01263,2026-01-14 15:44,Web form,Organic,,N
E00113,2026-01-14 16:23,Web form,Paid social,,N
E01264,2026-01-14 16:42,Web form,Organic,,N
E00150,2026-01-14 17:04,Web form,Directories,,Y
E01685,2026-01-14 17:30,Phone,Organic,P00477,N
E00031,2026-01-14 17:58,Web form,Paid search,,N
E00070,2026-01-14 18:37,Web form,Paid search,,N
E00052,2026-01-14 19:08,Web form,Paid search,,Y
E00066,2026-01-14 19:19,Web form,Paid search,,N
E01262,2026-01-14 21:17,Web form,Organic,,N
E01686,2026-01-15 08:04,Phone,Organic,P01088,N
E00021,2026-01-15 08:18,Web form,Paid search,,N
E01687,2026-01-15 10:06,Phone,Organic,P03284,N
E01688,2026-01-15 10:14,Phone,Organic,P03793,Y
E01689,2026-01-15 10:18,Phone,Paid social,P00002,N
E01690,2026-01-15 10:57,Phone,Directories,P03891,N
E00105,2026-01-15 11:59,Web form,Paid social,,N
E00075,2026-01-15 13:12,Web form,Paid search,,N
E01691,2026-01-15 13:25,Phone,Directories,P00098,Y
E01692,2026-01-15 13:32,Phone,Organic,P03778,Y
E01693,2026-01-15 14:30,Phone,Paid search,P01514,N
E01694,2026-01-15 15:25,Phone,Paid social,P01790,N
E01695,2026-01-15 15:34,Phone,Paid social,P00993,N
E01696,2026-01-15 15:45,Phone,Organic,P02449,Y
E01697,2026-01-15 16:01,Phone,Organic,P01147,N
E01698,2026-01-15 16:14,Phone,Organic,P01909,N
E00155,2026-01-15 16:20,Web form,Directories,,N
E01699,2026-01-15 16:30,Phone,Paid search,P00524,N
E01700,2026-01-15 16:42,Phone,Organic,P02635,N
E01701,2026-01-15 16:55,Phone,Paid search,P03082,N
E01702,2026-01-15 17:09,Phone,Directories,P03376,N
E01703,2026-01-15 17:17,Phone,Organic,P00722,N
E01704,2026-01-15 17:31,Phone,Organic,P04158,N
E00165,2026-01-15 17:53,Web form,Directories,,Y
E00020,2026-01-15 19:20,Web form,Paid search,,Y
E01265,2026-01-15 19:54,Web form,Organic,,N
E00044,2026-01-15 20:36,Web form,Paid search,,N
E00162,2026-01-15 20:53,Web form,Directories,,N
E00035,2026-01-16 08:44,Web form,Paid search,,N
E01705,2026-01-16 08:48,Phone,Paid search,P00200,Y
E01706,2026-01-16 08:53,Phone,Directories,P03035,Y
E01707,2026-01-16 09:04,Phone,Directories,P00664,Y
E01708,2026-01-16 09:20,Phone,Paid social,P00538,N
E01709,2026-01-16 10:15,Phone,Organic,P03883,Y
E01710,2026-01-16 10:15,Phone,Organic,P03924,N
E00116,2026-01-16 10:45,Web form,Paid social,,N
E01269,2026-01-16 11:50,Web form,Organic,,N
E01711,2026-01-16 12:02,Phone,Directories,P02748,Y
E00086,2026-01-16 12:26,Web form,Paid search,,N
E01268,2026-01-16 12:41,Web form,Organic,,N
E01712,2026-01-16 13:03,Phone,Paid search,P01198,N
E01713,2026-01-16 13:27,Phone,Paid search,P02467,N
E00036,2026-01-16 13:45,Web form,Paid search,,N
E01714,2026-01-16 14:12,Phone,Organic,P00934,N
E00050,2026-01-16 14:28,Web form,Paid search,,N
E00148,2026-01-16 15:08,Web form,Directories,,N
E00107,2026-01-16 16:22,Web form,Paid social,,N
E01715,2026-01-16 16:22,Phone,Directories,P00834,N
E01267,2026-01-16 16:23,Web form,Organic,,N
E01716,2026-01-16 16:39,Phone,Paid search,P03279,N
E01266,2026-01-16 17:42,Web form,Organic,,Y
E01717,2026-01-16 17:55,Phone,Organic,P03849,N
E00047,2026-01-16 18:13,Web form,Paid search,,N
E00029,2026-01-16 18:33,Web form,Paid search,,N
E01270,2026-01-16 20:32,Referral,Referral,,Y
E01718,2026-01-19 08:13,Phone,Paid search,P00777,N
E01719,2026-01-19 08:19,Phone,Organic,P03713,Y
E01720,2026-01-19 08:28,Phone,Organic,P01745,N
E01721,2026-01-19 10:37,Phone,Directories,P01839,N
E00099,2026-01-19 10:57,Web form,Paid social,,N
E00032,2026-01-19 11:11,Web form,Paid search,,N
E00040,2026-01-19 11:56,Web form,Paid search,,Y
E00134,2026-01-19 12:12,Web form,Paid social,,N
E01722,2026-01-19 12:16,Phone,Paid search,P03754,N
E01723,2026-01-19 13:04,Phone,Paid search,P03605,N
E00133,2026-01-19 13:37,Web form,Paid social,,Y
E01272,2026-01-19 14:47,Referral,Referral,,Y
E01271,2026-01-19 16:05,Web form,Organic,,N
E00130,2026-01-19 16:20,Web form,Paid social,,N
E01724,2026-01-19 16:41,Phone,Directories,P02461,Y
E00088,2026-01-19 17:15,Web form,Paid search,,N
E00049,2026-01-19 19:01,Web form,Paid search,,Y
E00016,2026-01-19 19:53,Web form,Paid search,,N
E00090,2026-01-19 20:10,Web form,Paid search,,N
E00045,2026-01-19 21:33,Web form,Paid search,,N
E01725,2026-01-20 08:48,Phone,Organic,P00868,N
E01726,2026-01-20 09:00,Phone,Paid social,P02742,N
E01727,2026-01-20 09:16,Phone,Paid search,P02423,N
E01728,2026-01-20 09:26,Phone,Paid social,P02570,Y
E01729,2026-01-20 09:41,Phone,Directories,P03195,Y
E01730,2026-01-20 09:44,Phone,Directories,P01311,N
E01731,2026-01-20 09:53,Phone,Paid search,P01022,N
E01732,2026-01-20 10:03,Phone,Organic,P01916,N
E01733,2026-01-20 11:23,Phone,Paid search,P00698,N
E01273,2026-01-20 11:42,Web form,Organic,,N
E01734,2026-01-20 11:43,Phone,Organic,P00694,N
E00123,2026-01-20 11:45,Web form,Paid social,,N
E01735,2026-01-20 11:58,Phone,Directories,P00483,Y
E01736,2026-01-20 13:15,Phone,Organic,P03647,N
E01737,2026-01-20 13:39,Phone,Directories,P01812,Y
E01274,2026-01-20 13:41,Web form,Organic,,N
E01738,2026-01-20 14:17,Phone,Paid search,P01868,Y
E00018,2026-01-20 14:21,Web form,Paid search,,Y
E00046,2026-01-20 14:29,Web form,Paid search,,N
E01739,2026-01-20 14:40,Phone,Paid search,P02591,N
E00015,2026-01-20 14:47,Web form,Paid search,,N
E01740,2026-01-20 16:14,Phone,Paid search,P00784,N
E01741,2026-01-20 16:59,Phone,Directories,P03829,Y
E00109,2026-01-20 17:10,Web form,Paid social,,N
E01742,2026-01-20 17:58,Phone,Paid search,P01167,Y
E01743,2026-01-21 08:14,Phone,Paid search,P03812,Y
E01744,2026-01-21 08:32,Phone,Organic,P02249,N
E01745,2026-01-21 08:38,Phone,Paid search,P03840,N
E01746,2026-01-21 08:45,Phone,Directories,P03422,N
E00065,2026-01-21 08:47,Web form,Paid search,,N
E01747,2026-01-21 09:10,Phone,Organic,P02455,N
E01748,2026-01-21 09:21,Phone,Organic,P03124,N
E01749,2026-01-21 09:27,Phone,Paid search,P00574,Y
E01750,2026-01-21 09:31,Phone,Organic,P01065,Y
E00158,2026-01-21 09:38,Web form,Directories,,N
E00114,2026-01-21 09:42,Web form,Paid social,,N
E01751,2026-01-21 09:45,Phone,Paid search,P01435,N
E01752,2026-01-21 10:38,Phone,Paid social,P01653,N
E00034,2026-01-21 11:52,Web form,Paid search,,N
E01753,2026-01-21 12:51,Phone,Organic,P00325,Y
E00089,2026-01-21 13:16,Web form,Paid search,,N
E01277,2026-01-21 13:20,Web form,Organic,,Y
E00053,2026-01-21 13:30,Web form,Paid search,,Y
E01276,2026-01-21 13:44,Web form,Organic,,N
E01754,2026-01-21 15:42,Phone,Organic,P00232,N
E00108,2026-01-21 16:12,Web form,Paid social,,Y
E01755,2026-01-21 16:40,Phone,Directories,P03519,N
E01756,2026-01-21 17:07,Phone,Directories,P00667,Y
E01757,2026-01-21 17:57,Phone,Paid search,P01113,Y
E00005,2026-01-21 18:18,Web form,Paid search,,Y
E01275,2026-01-21 18:41,Web form,Organic,,Y
E01758,2026-01-22 08:06,Phone,Directories,P03226,Y
E01759,2026-01-22 08:35,Phone,Organic,P00462,N
E01760,2026-01-22 09:13,Phone,Paid social,P01700,N
E01761,2026-01-22 09:38,Phone,Paid social,P01338,Y
E01762,2026-01-22 10:12,Phone,Organic,P00060,N
E01763,2026-01-22 12:20,Phone,Directories,P03186,N
E01764,2026-01-22 12:52,Phone,Paid search,P03520,N
E01765,2026-01-22 13:17,Phone,Organic,P01896,N
E01766,2026-01-22 13:34,Phone,Paid search,P03530,N
E01280,2026-01-22 14:02,Web form,Organic,,N
E01767,2026-01-22 14:04,Phone,Paid search,P01068,Y
E01768,2026-01-22 14:18,Phone,Organic,P03045,N
E01769,2026-01-22 14:21,Phone,Organic,P00337,N
E01770,2026-01-22 14:35,Phone,Organic,P02846,N
E00019,2026-01-22 15:05,Web form,Paid search,,Y
E01278,2026-01-22 15:08,Web form,Organic,,N
E00135,2026-01-22 15:59,Web form,Paid social,,Y
E01771,2026-01-22 16:17,Phone,Directories,P00569,Y
E01772,2026-01-22 17:28,Phone,Organic,P03920,N
E00159,2026-01-22 17:59,Web form,Directories,,Y
E01279,2026-01-22 18:10,Web form,Organic,,N
E00071,2026-01-22 20:14,Web form,Paid search,,N
E01773,2026-01-23 08:02,Phone,Directories,P02454,Y
E01281,2026-01-23 08:20,Web form,Organic,,Y
E01774,2026-01-23 08:20,Phone,Directories,P01026,N
E01775,2026-01-23 08:34,Phone,Organic,P00633,N
E01776,2026-01-23 08:35,Phone,Directories,P01596,Y
E01777,2026-01-23 09:24,Phone,Paid search,P00646,N
E00129,2026-01-23 09:33,Web form,Paid social,,N
E01778,2026-01-23 10:03,Phone,Organic,P00715,N
E00124,2026-01-23 10:17,Web form,Paid social,,N
E01779,2026-01-23 10:37,Phone,Organic,P02382,Y
E01780,2026-01-23 10:41,Phone,Directories,P00766,Y
E00064,2026-01-23 10:54,Web form,Paid search,,N
E00152,2026-01-23 13:07,Web form,Directories,,N
E01781,2026-01-23 13:47,Phone,Organic,P03126,N
E01782,2026-01-23 14:47,Phone,Paid search,P00813,N
E01783,2026-01-23 14:54,Phone,Organic,P01736,N
E01282,2026-01-23 15:05,Web form,Organic,,N
E00112,2026-01-23 15:12,Web form,Paid social,,Y
E01784,2026-01-23 15:59,Phone,Paid social,P03516,N
E00073,2026-01-23 16:28,Web form,Paid search,,N
E01283,2026-01-23 17:29,Web form,Organic,,N
E00025,2026-01-23 17:43,Web form,Paid search,,N
E01785,2026-01-23 17:53,Phone,Directories,P03517,Y
E00161,2026-01-23 19:31,Web form,Directories,,N
E00166,2026-01-23 19:39,Web form,Directories,,Y
E01284,2026-01-23 19:51,Web form,Organic,,N
E00087,2026-01-23 20:38,Web form,Paid search,,N
E01786,2026-01-26 08:24,Phone,Organic,P00679,N
E00128,2026-01-26 08:30,Web form,Paid social,,N
E01787,2026-01-26 08:45,Phone,Paid search,P00837,N
E00095,2026-01-26 09:32,Web form,Paid social,,N
E01788,2026-01-26 09:35,Phone,Paid search,P04001,N
E00037,2026-01-26 09:37,Web form,Paid search,,N
E01789,2026-01-26 09:45,Phone,Organic,P02244,N
E01790,2026-01-26 09:59,Phone,Organic,P02488,N
E00143,2026-01-26 10:42,Web form,Directories,,N
E01791,2026-01-26 10:55,Phone,Directories,P02404,N
E00136,2026-01-26 11:32,Web form,Paid social,,N
E01792,2026-01-26 11:36,Phone,Paid social,P00992,N
E00103,2026-01-26 12:13,Web form,Paid social,,N
E01793,2026-01-26 12:13,Phone,Paid social,P03801,N
E00002,2026-01-26 12:50,Web form,Paid search,,N
E01794,2026-01-26 13:13,Phone,Paid search,P03442,N
E01795,2026-01-26 14:03,Phone,Organic,P04065,N
E01796,2026-01-26 14:04,Phone,Paid search,P00551,N
E00100,2026-01-26 14:05,Web form,Paid social,,N
E00119,2026-01-26 14:09,Web form,Paid social,,N
E00164,2026-01-26 14:10,Web form,Directories,,N
E00056,2026-01-26 15:29,Web form,Paid search,,N
E01285,2026-01-26 15:46,Web form,Organic,,N
E01287,2026-01-26 16:05,Web form,Organic,,Y
E00120,2026-01-26 16:10,Web form,Paid social,,N
E01286,2026-01-26 20:14,Web form,Organic,,Y
E01288,2026-01-26 20:31,Web form,Organic,,N
E00117,2026-01-26 21:38,Web form,Paid social,,N
E01797,2026-01-27 08:12,Phone,Paid search,P00652,Y
E00082,2026-01-27 09:01,Web form,Paid search,,Y
E01798,2026-01-27 09:38,Phone,Paid social,P02819,N
E01799,2026-01-27 09:58,Phone,Organic,P02404,N
E00004,2026-01-27 10:48,Web form,Paid search,,N
E01291,2026-01-27 10:53,Web form,Organic,,Y
E01800,2026-01-27 11:04,Phone,Paid search,P00212,Y
E00076,2026-01-27 11:08,Web form,Paid search,,Y
E01801,2026-01-27 11:42,Phone,Paid search,P00292,N
E00039,2026-01-27 11:47,Web form,Paid search,,N
E01802,2026-01-27 12:38,Phone,Directories,P02174,Y
E00003,2026-01-27 13:32,Web form,Paid search,,Y
E00094,2026-01-27 14:15,Web form,Paid social,,N
E00027,2026-01-27 14:23,Web form,Paid search,,N
E01803,2026-01-27 15:13,Phone,Organic,P01244,N
E01804,2026-01-27 15:19,Phone,Paid search,P02652,N
E01805,2026-01-27 15:21,Phone,Paid social,P03085,N
E01806,2026-01-27 16:05,Phone,Paid social,P03880,N
E01807,2026-01-27 16:27,Phone,Directories,P03426,N
E01808,2026-01-27 17:50,Phone,Organic,P03879,N
E00121,2026-01-27 17:52,Web form,Paid social,,Y
E00141,2026-01-27 18:41,Web form,Directories,,Y
E00091,2026-01-27 18:49,Web form,Paid search,,N
E01290,2026-01-27 18:55,Web form,Organic,,Y
E00154,2026-01-27 20:28,Web form,Directories,,Y
E00104,2026-01-27 21:16,Web form,Paid social,,N
E01289,2026-01-27 21:27,Web form,Organic,,Y
E01809,2026-01-28 08:07,Phone,Organic,P02593,N
E00026,2026-01-28 08:16,Web form,Paid search,,N
E01810,2026-01-28 09:48,Phone,Paid search,P02116,Y
E01811,2026-01-28 12:09,Phone,Paid social,P02842,N
E01812,2026-01-28 13:08,Phone,Organic,P00950,N
E01292,2026-01-28 13:28,Web form,Organic,,N
E01813,2026-01-28 13:32,Phone,Paid social,P03728,N
E01814,2026-01-28 13:39,Phone,Paid search,P03026,Y
E01815,2026-01-28 13:56,Phone,Organic,P01465,Y
E01816,2026-01-28 14:23,Phone,Paid search,P03246,Y
E01817,2026-01-28 14:36,Phone,Paid social,P03532,N
E01818,2026-01-28 14:53,Phone,Directories,P03756,Y
E00157,2026-01-28 15:09,Web form,Directories,,N
E01819,2026-01-28 16:02,Phone,Organic,P01522,N
E01820,2026-01-28 16:14,Phone,Organic,P03774,N
E00145,2026-01-28 17:01,Web form,Directories,,Y
E01821,2026-01-28 17:10,Phone,Directories,P03682,Y
E01822,2026-01-28 17:13,Phone,Paid search,P00806,Y
E01823,2026-01-28 17:57,Phone,Organic,P01637,Y
E00153,2026-01-28 19:45,Web form,Directories,,N
E00101,2026-01-28 19:53,Web form,Paid social,,N
E00092,2026-01-28 19:56,Web form,Paid social,,N
E00081,2026-01-29 08:04,Web form,Paid search,,N
E01824,2026-01-29 08:21,Phone,Directories,P00980,Y
E01825,2026-01-29 08:42,Phone,Paid search,P00651,N
E01826,2026-01-29 09:03,Phone,Paid search,P01762,N
E01827,2026-01-29 09:19,Phone,Organic,P01899,Y
E01828,2026-01-29 09:34,Phone,Organic,P03416,N
E00137,2026-01-29 09:42,Web form,Paid social,,Y
E01829,2026-01-29 10:20,Phone,Organic,P00494,N
E01830,2026-01-29 10:30,Phone,Organic,P00550,Y
E01831,2026-01-29 10:31,Phone,Organic,P03838,Y
E01832,2026-01-29 10:41,Phone,Paid search,P03543,N
E01293,2026-01-29 12:41,Web form,Organic,,N
E01833,2026-01-29 12:50,Phone,Paid search,P01183,Y
E00038,2026-01-29 12:51,Web form,Paid search,,Y
E00093,2026-01-29 13:18,Web form,Paid social,,N
E00096,2026-01-29 13:51,Web form,Paid social,,Y
E01834,2026-01-29 14:04,Phone,Paid search,P02764,N
E01835,2026-01-29 14:19,Phone,Directories,P02805,Y
E00072,2026-01-29 14:38,Web form,Paid search,,Y
E01836,2026-01-29 15:18,Phone,Organic,P01244,N
E01837,2026-01-29 16:03,Phone,Paid search,P01987,Y
E01838,2026-01-29 16:58,Phone,Organic,P01841,N
E00022,2026-01-29 17:10,Web form,Paid search,,N
