call_id,received_at,line,caller_ref,wait_seconds,talk_seconds,outcome,handled_by
C000045,05/01/2026 12:39:08,New Patients,P03806,19,521,Answered,R04
C000046,05/01/2026 12:43:46,New Patients,P02600,68,0,VOICEMAIL,
C000047,05/01/2026 12:45:35,Billing ,P03496,37,0,voicemail,
C000048,05/01/2026 12:47:15,Main,P01304,38,0,voicemail,
C000049,05/01/2026 12:48:33,New Patients,P02272,52,0,voicemail,
C000050,05/01/2026 12:53:05,Main,P01960,,139,ANSWERED,R04
C000051,05/01/2026 12:55:09,Main,P01895,30,0,ABANDONED,
C000052,05/01/2026 12:57:03,New Patients ,P00527,14,0,abandoned,
C000053,05/01/2026 13:01:54,Main,P03442,15,402,answered,R04
C000054,05/01/2026 13:03:24,Billing,P03117,63,0,voicemail,
C000055,05/01/2026 13:06:47,New Patients,P03433,46,0,Voicemail,
C000056,05/01/2026 13:11:25,New Patients,P01807,10,176,Answered,R04
C000057,05/01/2026 13:12:39,New Patients,P03829,67,0,VOICEMAIL,
C000058,05/01/2026 13:15:27,New Patients,P03228,47,0,VOICEMAIL,
C000059,05/01/2026 13:16:20,Main,P03783,6,108,answered,R04
C000060,05/01/2026 13:18:53,Main,P03106,35,0,ABANDONED,
C000061,05/01/2026 13:27:48,Main,P00159,6,322,answered,R04
C000062,05/01/2026 13:31:13,Main,P02026,14,129,answered,R01
C000063,05/01/2026 13:41:07,Main,P02100,,98,answered,R02
C000064,05/01/2026 13:47:25,New Patients,P01342,10,194,ANSWERED,R02
C000065,05/01/2026 14:24:44,Billing,P01625,10,365,ANSWERED,R01
C000066,05/01/2026 14:25:54,New Patients,P00992,4,249,ANSWERED,R02
C000067,05/01/2026 14:36:29,Main ,P04016,15,175,ANSWERED,R01
C000068,05/01/2026 15:26:30,New Patients,P03568,7,120,answered,R02
C000069,05/01/2026 15:50:24,Main,P02199,9,131,answered,R03
C000070,05/01/2026 15:51:44,Main,P04050,11,269,answered,R02
C000071,05/01/2026 15:53:41,Billing,P00084,13,231,ANSWERED,R01
C000072,05/01/2026 16:06:30,New Patients ,P03672,13,377,Answered,R01
C000073,05/01/2026 16:14:14,New Patients,P02817,11,247,ANSWERED,R04
C000074,05/01/2026 16:17:30,Main,P01578,15,243,Answered,R02
C000075,05/01/2026 16:25:19,Main,P02319,14,273,answered,R01
C000076,05/01/2026 16:33:00,Main,P01037,11,292,answered,R04
C000077,05/01/2026 16:42:55,New Patients,P03846,9,288,answered,R04
C000078,05/01/2026 16:45:19,Main,P00536,,225,ANSWERED,R03
C000079,05/01/2026 16:54:39,Main,P02034,9,205,answered,R03
C000080,05/01/2026 17:08:03,Main,P03117,13,214,answered,R04
C000081,05/01/2026 17:12:15,New Patients,P00813,5,347,ANSWERED,R03
C000082,05/01/2026 17:22:45,Main,P00615,16,210,ANSWERED,R03
C000083,05/01/2026 17:34:59,Main,P03720,9,343,ANSWERED,R03
C000084,05/01/2026 17:48:36,Main,P00941,,130,ANSWERED,R03
C000085,06/01/2026 08:00:00,Main,P03971,18,421,ANSWERED,R01
C000086,06/01/2026 08:14:31,New Patients,P00764,10,294,answered,R01
C000087,06/01/2026 08:17:12,Billing,P02391,,230,ANSWERED,R02
C000088,06/01/2026 08:23:26,Billing,P04164,13,353,answered,R01
C000089,06/01/2026 08:31:31,Main,P04160,11,130,ANSWERED,R02
C000090,06/01/2026 08:33:29,New Patients,P03659,3,233,answered,R01
C000091,06/01/2026 08:48:24,Billing,P01546,4,455,answered,R01
C000092,06/01/2026 08:55:54,Billing,P01247,6,410,Answered,R02
C000093,06/01/2026 09:00:16,Main ,P03744,7,218,answered,R01
C000094,06/01/2026 09:05:45,Main,P03257,,297,answered,R01
C000095,06/01/2026 09:16:05,Billing,P03998,5,293,answered,R01
C000096,06/01/2026 09:21:02,Main,P00807,5,164,answered,R02
C000097,06/01/2026 09:40:11,Main,P00460,4,135,ANSWERED,R03
C000098,06/01/2026 09:48:09,Main,P00647,14,214,answered,R04
C000099,06/01/2026 09:53:22,Main,P02081,8,223,answered,R02
C000100,06/01/2026 09:55:54,Billing,P02451,9,228,answered,R04
C000101,06/01/2026 09:57:47,Main,P01944,,127,answered,R03
C000102,06/01/2026 10:06:14,Billing,P04070,5,316,answered,R03
C000103,06/01/2026 10:13:40,New Patients,P02054,9,358,answered,R04
C000104,06/01/2026 10:49:58,New Patients,P02531,,172,answered,R04
C000105,06/01/2026 10:51:17,Main,P03404,12,300,ANSWERED,R01
C000106,06/01/2026 10:54:51,New Patients,P02106,20,508,answered,R03
C000107,06/01/2026 10:56:54,Main,P00617,9,288,answered,R02
C000108,06/01/2026 11:13:43,New Patients,P02997,3,321,answered,R01
C000109,06/01/2026 11:14:14,Main,P03122,12,373,Answered,R04
C000110,06/01/2026 11:15:02,New Patients,P03804,7,347,ANSWERED,R03
C000111,06/01/2026 11:18:47,Main,P04036,20,113,Answered,R02
C000112,06/01/2026 11:18:46,New Patients,P03434,70,0,voicemail,
C000113,06/01/2026 11:36:13,Main,P03399,13,304,answered,R01
C000114,06/01/2026 11:44:25,Main,P01935,,894,answered,R03
C000115,06/01/2026 11:45:50,Main,P01001,13,112,Answered,R02
C000116,06/01/2026 12:14:49,New Patients,P00563,11,435,Answered,R02
C000117,06/01/2026 12:17:42,Main,P00024,11,129,answered,R03
C000118,06/01/2026 12:31:01,New Patients,P01080,5,181,answered,R04
C000119,06/01/2026 12:31:04,Main,P00430,15,0,Abandoned,
C000120,06/01/2026 12:41:46,Main,P02966,10,181,Answered,R04
C000121,06/01/2026 12:53:28,New Patients,P02471,7,286,ANSWERED,R04
C000122,06/01/2026 12:56:09,Main,P00662,19,0,Abandoned,
C000123,06/01/2026 12:59:24,Main,P02253,29,0,voicemail,
C000124,06/01/2026 13:01:07,Billing,P02416,3,241,answered,R04
C000125,06/01/2026 13:07:06,New Patients,P01762,4,242,answered,R04
C000126,06/01/2026 13:21:04,Main,P02561,10,169,ANSWERED,R04
C000127,06/01/2026 13:26:35,Main,P00700,,169,Answered,R04
C000128,06/01/2026 14:33:55,New Patients,P01002,13,217,Answered,R04
C000129,06/01/2026 15:09:14,Billing,P00422,3,259,answered,R03
C000130,06/01/2026 15:12:51,New Patients,P02869,5,198,ANSWERED,R04
C000131,06/01/2026 15:14:42,Main,P00216,14,165,answered,R02
C000132,06/01/2026 15:22:29,Main,P01163,10,97,Answered,R01
C000133,06/01/2026 15:56:10,Main,P03032,6,201,answered,R03
C000134,06/01/2026 16:01:28,New Patients,P00408,,181,answered,R01
C000135,06/01/2026 16:03:42,Main ,P01766,14,112,ANSWERED,R04
C000136,06/01/2026 16:24:07,Main,P01807,13,455,answered,R04
C000137,06/01/2026 16:27:22,Main,P03528,14,118,ANSWERED,R01
C000138,06/01/2026 16:29:45,Main,P00347,15,367,ANSWERED,R03
C000139,06/01/2026 16:40:27,New Patients,P02372,6,276,ANSWERED,R03
C000140,06/01/2026 16:58:19,New Patients,P01994,19,352,ANSWERED,R04
C000141,06/01/2026 17:30:49,New Patients,P01816,9,379,ANSWERED,R04
C000142,06/01/2026 17:56:09,Main,P01210,6,125,answered,R03
C000143,07/01/2026 08:34:47,Main,P03086,,395,ANSWERED,R02
C000144,07/01/2026 08:34:08,Billing,P00766,7,142,answered,R01
C000145,07/01/2026 08:37:06,Main,P02424,50,0,VOICEMAIL,
C000146,07/01/2026 08:38:44,Main,P00310,15,207,Answered,R01
C000147,07/01/2026 08:40:02,New Patients,P01357,35,0,VOICEMAIL,
C000148,07/01/2026 08:43:51,Main,P01946,,252,Answered,R02
C000149,07/01/2026 08:51:49,New Patients ,P01590,,420,ANSWERED,R02
C000150,07/01/2026 08:55:41,Main,P03129,21,248,answered,R01
C000151,07/01/2026 09:09:05,Main,P03041,6,266,answered,R01
C000152,07/01/2026 09:13:28,New Patients,P02235,12,123,ANSWERED,R02
C000153,07/01/2026 09:13:25,Billing,P00219,17,0,abandoned,
C000154,07/01/2026 09:16:08,Main,P01932,15,401,answered,R01
C000155,07/01/2026 09:20:57,Main,P03871,8,276,Answered,R02
C000156,07/01/2026 09:22:38,Main,P02097,41,0,ABANDONED,
C000157,07/01/2026 09:46:40,New Patients,P00911,22,242,ANSWERED,R03
C000157,07/01/2026 09:46:40,New Patients,P00911,22,242,ANSWERED,R03
C000158,07/01/2026 09:56:15,New Patients,P03745,20,329,answered,R01
C000159,07/01/2026 09:59:33,New Patients,P02387,18,326,ANSWERED,R03
C000160,07/01/2026 09:59:40,Billing,P00555,,337,answered,R02
C000161,07/01/2026 10:06:11,Main,P02724,14,87,answered,R01
C000162,07/01/2026 10:09:02,New Patients,P03807,4,113,answered,R04
C000163,07/01/2026 10:13:25,Main,P00359,9,293,answered,R02
C000164,07/01/2026 10:18:41,Billing,P03879,18,72,answered,R03
C000165,07/01/2026 10:20:24,Main,P01020,11,175,ANSWERED,R02
C000166,07/01/2026 10:22:27,Main,P01531,6,259,Answered,R03
C000167,07/01/2026 10:25:18,Main,P01479,,159,answered,R04
C000168,07/01/2026 10:35:43,Main,P03491,6,224,Answered,R02
C000169,07/01/2026 10:45:08,Main ,P00256,,438,Answered,R02
C000170,07/01/2026 10:54:23,Main,P03001,,244,Answered,R03
C000171,07/01/2026 11:14:15,Main,P00630,15,197,ANSWERED,R02
C000172,07/01/2026 11:15:39,Billing,P00213,12,491,answered,R04
C000173,07/01/2026 11:18:05,Main,P04024,16,131,ANSWERED,R01
C000174,07/01/2026 11:24:45,New Patients,P02619,7,411,answered,R03
C000175,07/01/2026 11:24:08,New Patients,P01427,11,307,Answered,R02
C000176,07/01/2026 11:26:56,Main,P04048,3,43,Answered,R01
C000177,07/01/2026 11:37:04,Main,P02534,15,207,answered,R04
C000178,07/01/2026 11:52:40,Main,P02598,,71,ANSWERED,R01
C000179,07/01/2026 12:13:33,New Patients,P01058,12,310,ANSWERED,R04
C000180,07/01/2026 12:22:08,Main,P01349,4,112,Answered,R02
C000181,07/01/2026 12:24:10,New Patients,P00766,18,398,Answered,R04
C000182,07/01/2026 12:24:26,New Patients,P02766,9,361,answered,R01
C000183,07/01/2026 12:33:19,New Patients,P00249,7,590,answered,R04
C000184,07/01/2026 12:46:21,Main,P03327,,120,answered,R04
C000185,07/01/2026 12:49:20,New Patients,P02561,58,0,voicemail,
C000186,07/01/2026 12:55:17,New Patients,P02830,13,327,answered,R04
C000187,07/01/2026 12:59:18,Main,P01155,31,0,ABANDONED,
C000188,07/01/2026 12:59:20,Billing ,P03426,27,0,abandoned,
C000189,07/01/2026 13:04:31,Billing,P02562,5,359,ANSWERED,R04
C000190,07/01/2026 13:07:15,New Patients,P04075,37,0,abandoned,
C000191,07/01/2026 13:08:18,Main,P02891,16,0,ABANDONED,
C000192,07/01/2026 13:11:08,Main,P03856,28,0,Abandoned,
C000193,07/01/2026 13:15:12,Billing,P02997,9,201,answered,R04
C000194,07/01/2026 13:16:17,Main,P02365,1,0,Abandoned,
C000195,07/01/2026 13:18:06,New Patients,P00974,21,0,Abandoned,
C000196,07/01/2026 13:28:08,Main,P02778,9,192,answered,R04
C000197,07/01/2026 13:41:20,New Patients,P03881,4,280,answered,R03
C000198,07/01/2026 14:00:32,Billing,P02610,,460,answered,R01
C000199,07/01/2026 14:16:26,New Patients,P02456,15,448,ANSWERED,R02
C000200,07/01/2026 15:02:49,New Patients ,P00219,8,295,answered,R04
C000201,07/01/2026 15:08:12,New Patients,P01211,19,191,answered,R03
C000202,07/01/2026 15:22:55,Main,P02570,15,139,answered,R04
C000203,07/01/2026 15:37:30,New Patients,P00511,17,315,answered,R02
C000204,07/01/2026 15:39:43,New Patients,P02571,,340,ANSWERED,R01
C000205,07/01/2026 15:53:14,New Patients,P02166,11,222,answered,R04
C000206,07/01/2026 16:07:59,Billing,P02439,6,236,answered,R03
C000207,07/01/2026 16:21:25,New Patients ,P02241,,123,ANSWERED,R03
C000208,07/01/2026 16:26:52,New Patients,P01200,25,491,Answered,R03
C000209,07/01/2026 16:26:06,New Patients,P02226,13,456,ANSWERED,R01
C000210,07/01/2026 16:31:30,Main,P03870,7,88,Answered,R04
C000211,07/01/2026 16:44:05,Main,P01634,5,128,ANSWERED,R04
C000212,07/01/2026 16:46:53,New Patients,P01903,12,436,Answered,R03
C000213,07/01/2026 16:50:54,Main,P04059,6,202,answered,R04
C000214,07/01/2026 17:00:00,Main ,P02236,11,315,answered,R03
C000215,07/01/2026 17:09:11,New Patients,P02417,3,308,answered,R03
C000216,07/01/2026 17:29:21,Billing,P03912,9,204,answered,R04
C000217,08/01/2026 08:08:34,Main,P03134,19,140,answered,R02
C000218,08/01/2026 08:21:46,Main,P02849,,111,answered,R01
C000219,08/01/2026 08:28:14,Billing,P00029,16,321,Answered,R01
C000220,08/01/2026 08:34:26,Main,P02836,7,231,Answered,R02
C000221,08/01/2026 08:36:25,New Patients,P00129,9,359,ANSWERED,R01
C000222,08/01/2026 08:37:49,Main,P01780,58,0,Voicemail,
C000223,08/01/2026 08:37:36,Main,P04128,54,0,voicemail,
C000224,08/01/2026 08:40:14,Main,P02627,24,158,answered,R02
C000225,08/01/2026 08:44:35,Main,P02255,,236,answered,R01
C000226,08/01/2026 08:46:09,Main,P02822,5,262,ANSWERED,R02
C000227,08/01/2026 08:50:03,Main,P01507,9,262,answered,R01
C000228,08/01/2026 09:00:05,New Patients ,P03413,13,271,ANSWERED,R01
C000229,08/01/2026 09:00:02,Billing,P03040,3,137,Answered,R02
C000230,08/01/2026 09:01:37,New Patients,P01542,44,0,voicemail,
C000231,08/01/2026 09:06:47,New Patients,P01778,12,231,ANSWERED,R02
C000232,08/01/2026 09:12:15,Billing,P03924,23,399,answered,R01
C000233,08/01/2026 09:14:29,New Patients ,P02319,,242,Answered,R02
C000234,08/01/2026 09:32:36,Main,P03847,11,315,answered,R03
C000235,08/01/2026 09:36:21,New Patients,P01196,7,338,ANSWERED,R01
C000236,08/01/2026 09:36:48,Main,P02014,25,379,ANSWERED,R04
C000237,08/01/2026 09:46:58,New Patients,P04019,15,122,ANSWERED,R04
C000238,08/01/2026 10:03:13,Billing,P00482,19,267,answered,R01
C000239,08/01/2026 10:06:00,Main,P03058,,226,Answered,R02
C000240,08/01/2026 10:07:44,New Patients,P03370,,317,answered,R03
C000241,08/01/2026 10:09:22,New Patients,P01469,16,180,answered,R01
C000242,08/01/2026 10:16:44,Main,P03252,4,161,answered,R01
C000243,08/01/2026 10:22:10,Main,P00661,14,198,answered,R01
C000244,08/01/2026 10:47:33,Main,P03555,12,271,answered,R03
C000245,08/01/2026 10:52:43,Billing,P01883,17,257,answered,R01
C000246,08/01/2026 10:54:37,Billing,P00270,,388,Answered,R02
C000247,08/01/2026 10:59:34,Main,P03263,6,267,Answered,R01
C000248,08/01/2026 11:22:27,Main,P01147,17,194,Answered,R01
C000249,08/01/2026 11:28:28,Main,P00623,,131,ANSWERED,R03
C000250,08/01/2026 11:31:42,Main,P02915,3,345,ANSWERED,R04
C000251,08/01/2026 11:37:47,Main,P02420,8,75,answered,R01
C000252,08/01/2026 11:46:05,Main ,P02955,6,158,ANSWERED,R01
C000253,08/01/2026 12:21:55,Main,P03677,11,210,ANSWERED,R04
C000254,08/01/2026 12:23:57,Main,P02391,10,172,answered,R02
C000255,08/01/2026 12:26:10,Billing,P01989,7,188,Answered,R01
C000256,08/01/2026 12:28:15,Main,P03450,5,187,Answered,R03
C000257,08/01/2026 12:32:24,New Patients,P04062,5,162,answered,R04
C000258,08/01/2026 12:40:38,New Patients,P02700,9,152,answered,R04
C000259,08/01/2026 12:44:11,Main,P02627,44,0,Voicemail,
C000260,08/01/2026 12:44:44,Billing,P02615,6,0,abandoned,
C000261,08/01/2026 12:49:37,New Patients ,P01986,,277,answered,R04
C000262,08/01/2026 12:52:35,Billing,P01474,71,0,voicemail,
C000262,08/01/2026 12:52:35,Billing,P01474,71,0,voicemail,
C000263,08/01/2026 12:54:53,Main,P03782,58,0,Voicemail,
C000264,08/01/2026 12:55:09,New Patients,P03352,21,204,answered,R04
C000265,08/01/2026 13:02:55,New Patients,P03089,,349,answered,R04
C000266,08/01/2026 13:04:23,New Patients,P00302,57,0,Voicemail,
C000267,08/01/2026 13:14:41,New Patients,P00697,10,222,Answered,R04
C000268,08/01/2026 13:17:21,New Patients ,P03274,27,0,voicemail,
C000269,08/01/2026 13:21:36,Billing,P03527,14,244,Answered,R04
C000270,08/01/2026 13:37:09,Main,P03065,9,173,Answered,R02
C000271,08/01/2026 13:46:30,Main,P00202,14,145,ANSWERED,R02
C000272,08/01/2026 13:47:02,Main,P00800,13,259,answered,R03
C000273,08/01/2026 14:14:15,New Patients,P00943,14,359,answered,R01
C000274,08/01/2026 14:15:25,Main ,P01312,,577,ANSWERED,R03
C000275,08/01/2026 14:50:00,New Patients,P01527,,521,answered,R04
C000276,08/01/2026 14:53:06,New Patients,P01686,15,844,answered,R02
C000277,08/01/2026 15:02:39,New Patients,P01532,5,323,answered,R03
C000278,08/01/2026 15:15:43,Main,P00936,15,153,answered,R03
C000279,08/01/2026 15:18:23,New Patients,P02437,,252,answered,R04
C000280,08/01/2026 15:51:11,New Patients,P04185,3,283,ANSWERED,R04
C000281,08/01/2026 15:52:31,Main,P01420,11,377,ANSWERED,R03
C000282,08/01/2026 15:57:26,Main,P03146,14,191,ANSWERED,R04
C000283,08/01/2026 16:31:14,New Patients,P03637,13,408,ANSWERED,R04
C000284,08/01/2026 16:43:32,New Patients,P01378,16,381,answered,R04
C000285,08/01/2026 16:55:46,Main,P00936,11,106,ANSWERED,R04
C000286,08/01/2026 17:06:28,Main,P01791,3,250,answered,R04
C000287,08/01/2026 17:06:44,Main,P00713,11,257,Answered,R03
C000288,08/01/2026 17:38:51,Main,P03508,6,288,ANSWERED,R03
C000289,08/01/2026 17:53:54,Main,P02874,5,320,Answered,R04
C000290,09/01/2026 08:11:19,New Patients,P00765,8,443,Answered,R02
C000291,09/01/2026 08:28:30,New Patients,P01919,15,457,ANSWERED,R02
C000291,09/01/2026 08:28:30,New Patients,P01919,15,457,ANSWERED,R02
C000292,09/01/2026 08:35:24,Main,P01853,19,177,ANSWERED,R01
C000293,09/01/2026 08:43:49,Main,P00840,9,56,answered,R01
C000294,09/01/2026 08:50:13,New Patients,P01091,17,337,answered,R01
C000295,09/01/2026 09:05:57,New Patients,P01241,12,358,ANSWERED,R02
C000296,09/01/2026 09:06:15,Main,P01009,4,256,ANSWERED,R01
C000297,09/01/2026 09:07:44,New Patients,P02335,64,0,VOICEMAIL,
C000298,09/01/2026 09:10:25,Main,P02472,14,0,abandoned,
C000299,09/01/2026 09:11:50,Main,P00448,44,0,Voicemail,
C000300,09/01/2026 09:15:23,Billing,P04055,15,279,answered,R02
C000301,09/01/2026 09:46:43,Billing,P01082,14,457,Answered,R04
C000302,09/01/2026 09:57:26,Main,P03859,11,192,Answered,R01
C000303,09/01/2026 09:59:05,Main,P03296,9,240,answered,R02
C000304,09/01/2026 10:06:41,Main ,P04189,13,137,answered,R02
C000305,09/01/2026 10:13:03,New Patients,P00542,8,538,answered,R03
C000306,09/01/2026 10:14:07,Main,P03560,,107,Answered,R01
C000307,09/01/2026 10:36:10,Main,P01125,11,206,Answered,R01
C000308,09/01/2026 10:45:45,Main,P02202,9,263,Answered,R01
C000309,09/01/2026 10:48:36,Billing,P00632,7,227,answered,R03
C000310,09/01/2026 10:51:00,Main,P01289,11,221,Answered,R02
C000311,09/01/2026 10:56:11,Main,P00101,5,109,answered,R01
C000312,09/01/2026 11:07:36,Billing,P00290,9,384,answered,R04
C000313,09/01/2026 11:29:54,Main,P04113,14,101,ANSWERED,R01
C000314,09/01/2026 11:31:15,Main,P00708,,90,Answered,R04
C000315,09/01/2026 12:07:09,Main,P04042,10,282,Answered,R02
C000316,09/01/2026 12:14:06,Main,P03360,9,424,Answered,R01
C000317,09/01/2026 12:29:45,Main,P01952,15,188,ANSWERED,R04
C000318,09/01/2026 12:43:05,Main,P00360,15,243,ANSWERED,R04
C000318,09/01/2026 12:43:05,Main,P00360,15,243,ANSWERED,R04
C000319,09/01/2026 12:55:03,New Patients,P04141,3,363,answered,R04
C000320,09/01/2026 13:08:20,Main,P01071,5,326,ANSWERED,R04
C000321,09/01/2026 13:08:12,Main,P02228,48,0,abandoned,
C000322,09/01/2026 13:10:26,Main,P00893,30,0,abandoned,
C000323,09/01/2026 13:11:13,Main,P02936,66,0,voicemail,
C000324,09/01/2026 13:18:38,Main,P03796,10,267,answered,R04
C000324,09/01/2026 13:18:38,Main,P03796,10,267,answered,R04
C000325,09/01/2026 13:38:32,Main,P02686,6,124,answered,R01
C000326,09/01/2026 13:40:06,Main,P02449,10,209,answered,R03
C000327,09/01/2026 13:44:41,New Patients,P01146,5,454,ANSWERED,R01
C000328,09/01/2026 14:56:57,Main,P02121,11,332,ANSWERED,R01
C000329,09/01/2026 14:56:36,New Patients,P02717,9,158,Answered,R02
C000330,09/01/2026 15:11:17,Main,P03236,19,137,ANSWERED,R04
C000331,09/01/2026 15:18:31,Main ,P01218,10,239,ANSWERED,R01
C000332,09/01/2026 15:37:15,Main,P03925,14,159,answered,R01
C000332,09/01/2026 15:37:15,Main,P03925,14,159,answered,R01
C000333,09/01/2026 15:42:31,New Patients,P00160,12,428,answered,R04
C000334,09/01/2026 15:43:49,Main ,P04116,5,158,answered,R02
C000335,09/01/2026 15:57:58,Main,P03865,11,224,ANSWERED,R03
C000336,09/01/2026 16:03:51,New Patients,P01798,,421,answered,R04
C000337,09/01/2026 16:10:12,New Patients,P02940,19,673,ANSWERED,R03
C000338,09/01/2026 16:14:33,New Patients,P04033,6,201,answered,R04
C000339,09/01/2026 16:17:51,Main,P02718,16,272,ANSWERED,R01
C000340,09/01/2026 16:18:25,New Patients,P02651,18,538,answered,R02
C000341,09/01/2026 16:20:31,New Patients,P02758,10,419,answered,R04
C000342,09/01/2026 16:29:19,New Patients,P01428,19,181,answered,R04
C000343,09/01/2026 16:32:49,New Patients,P02413,6,439,ANSWERED,R03
C000344,09/01/2026 16:34:47,Billing,P00266,3,533,Answered,R04
C000345,09/01/2026 16:36:10,Main,P02842,29,0,voicemail,
C000346,09/01/2026 16:43:06,New Patients ,P00727,3,247,answered,R03
C000347,09/01/2026 16:46:26,New Patients,P00395,10,280,answered,R04
C000348,09/01/2026 16:52:43,Main,P03103,5,169,ANSWERED,R04
C000349,09/01/2026 17:03:10,Main,P03697,8,119,ANSWERED,R03
C000350,09/01/2026 17:30:10,New Patients,P00763,,300,answered,R04
C000351,09/01/2026 17:33:26,New Patients,P03557,3,182,answered,R03
C000352,09/01/2026 17:51:03,New Patients,P02174,8,253,answered,R04
C000353,09/01/2026 17:55:12,Main,P03503,12,118,answered,R03
C000354,12/01/2026 08:08:31,Main,P03893,11,270,answered,R02
C000355,12/01/2026 08:22:26,New Patients,P00805,21,237,answered,R01
C000356,12/01/2026 08:27:31,New Patients,P00732,23,181,answered,R02
C000357,12/01/2026 08:28:54,New Patients ,P03064,4,226,answered,R01
C000358,12/01/2026 08:36:58,New Patients,P00238,8,431,Answered,R01
C000359,12/01/2026 08:44:15,Main,P01632,3,67,answered,R02
C000360,12/01/2026 08:48:22,Main,P03655,14,373,answered,R01
C000361,12/01/2026 08:52:54,Main,P02119,7,103,answered,R02
C000362,12/01/2026 08:53:17,Main,P01845,66,0,voicemail,
C000363,12/01/2026 08:56:45,New Patients,P00165,5,176,Answered,R01
C000364,12/01/2026 08:58:33,Billing,P02256,9,230,answered,R02
C000365,12/01/2026 09:00:53,New Patients,P03254,112,0,voicemail,
C000366,12/01/2026 09:12:17,New Patients,P02316,10,401,ANSWERED,R02
C000367,12/01/2026 09:12:15,New Patients,P02269,,352,answered,R01
C000368,12/01/2026 09:12:43,Billing,P03311,18,0,Voicemail,
C000369,12/01/2026 09:13:26,Main,P00209,63,0,Voicemail,
C000370,12/01/2026 09:19:36,Main,P00290,50,0,VOICEMAIL,
C000371,12/01/2026 09:20:19,New Patients,P02812,5,222,ANSWERED,R01
C000372,12/01/2026 09:25:11,New Patients ,P01484,,115,answered,R02
C000373,12/01/2026 09:27:23,Billing,P02750,9,393,answered,R01
C000374,12/01/2026 09:31:37,Main,P02409,13,317,answered,R03
C000375,12/01/2026 09:34:03,New Patients,P00584,15,482,answered,R04
C000376,12/01/2026 09:39:57,New Patients,P01236,3,543,ANSWERED,R01
C000377,12/01/2026 09:42:11,Billing,P03749,4,365,answered,R02
C000378,12/01/2026 09:52:36,Main,P00476,19,181,ANSWERED,R01
